,playDate,durationMin,gameRefId,number_players,jul vs paula,jul and paula,coop,winner,scores difference,id,bggName,bggYear,designers
196,2020-04-25 15:40:46,30,68,2,True,True,0,Jul,37.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
197,2020-04-23 15:04:03,30,69,2,False,False,0,Paula,,69,7 Wonders Duel,2015,"Antoine Bauza, Bruno Cathala"
198,2020-04-22 15:50:19,35,68,2,True,True,0,Jul,13.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
199,2020-04-20 22:18:54,132,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
200,2020-04-20 17:27:39,20,69,2,True,True,1,Paula,,69,7 Wonders Duel,2015,"Antoine Bauza, Bruno Cathala"
201,2020-04-19 14:15:03,30,68,2,True,True,0,Paula,1.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
202,2020-04-19 11:51:48,90,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
203,2020-04-18 14:00:26,80,68,2,True,True,0,Paula,44.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
204,2020-04-15 10:00:00,90,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
205,2020-04-13 19:29:58,120,33,4,False,True,0,Jul,6.0,33,Terraforming Mars,2016,Jacob Fryxelius
206,2020-04-13 15:09:29,50,3,2,True,True,0,Jul,1.0,3,Heaven & Ale,2017,"Michael Kiesling, Andreas Schmidt"
207,2020-04-13 13:40:21,35,68,2,True,True,0,Jul,34.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
208,2020-04-12 15:55:47,35,68,2,True,True,0,Paula,53.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
209,2020-04-12 10:30:10,40,68,2,True,True,0,Paula,7.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
210,2020-04-11 21:53:09,90,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
211,2020-04-11 21:52:43,54,67,1,False,False,1,Jul,,67,Unlock!: Exotic Adventures,2018,Cyril Demaegd
212,2020-04-11 15:36:22,45,53,2,True,True,0,Paula,7.0,53,Wingspan,2019,Elizabeth Hargrave
213,2020-04-10 21:29:02,90,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
214,2020-04-09 10:00:00,69,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
215,2020-04-09 10:00:00,90,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
216,2020-04-06 10:00:00,100,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
217,2020-04-05 20:26:38,90,58,1,False,False,1,Jul,,58,Unlock!: Mystery Adventures,2017,"Arnaud Ladagnous, Fabrice Mazza, Sébastien Pauchon, Billy Stevenson"
218,2020-04-05 10:50:35,70,66,2,True,True,1,,,66,EXIT: Das Spiel – Die Känguru-Eskapaden,2019,"Inka Brand, Markus Brand, Marc-Uwe Kling"
219,2020-04-04 22:28:19,75,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
220,2020-04-04 22:27:55,60,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
221,2020-04-04 15:16:44,45,65,2,True,True,1,Jul,,65,Clank!: A Deck-Building Adventure,2016,Paul Dennen
222,2020-04-03 20:06:23,45,28,2,True,True,0,Jul,5.0,28,Abyss,2014,"Bruno Cathala, Charles Chevallier"
224,2020-04-01 22:43:22,80,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
225,2020-04-01 22:42:35,50,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
226,2020-03-29 22:03:22,90,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
227,2020-03-28 21:37:24,120,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
228,2020-03-22 20:52:07,120,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
229,2020-03-22 12:13:50,50,3,2,True,True,0,Jul,8.0,3,Heaven & Ale,2017,"Michael Kiesling, Andreas Schmidt"
230,2020-03-21 22:19:57,75,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
231,2020-03-21 22:19:15,105,64,3,False,True,1,,,64,Pandemic Legacy: Season 2,2017,"Rob Daviau, Matt Leacock"
232,2020-03-21 14:48:13,23,59,1,False,False,1,Jul,,59,Ubongo,2003,Grzegorz Rejchtman
233,2020-03-15 17:54:10,60,12,4,False,True,0,Nicola,57.0,12,Rummikub,1977,Ephraim Hertzano
234,2020-03-14 20:08:29,44,59,1,False,False,1,,,59,Ubongo,2003,Grzegorz Rejchtman
235,2020-03-14 18:03:35,15,59,1,False,False,1,Paula,,59,Ubongo,2003,Grzegorz Rejchtman
236,2020-03-14 16:24:49,35,53,2,True,True,0,Paula,9.0,53,Wingspan,2019,Elizabeth Hargrave
237,2020-03-14 15:34:42,45,53,2,True,True,0,Jul,7.0,53,Wingspan,2019,Elizabeth Hargrave
238,2020-03-13 15:59:27,90,63,1,False,False,1,Jul,,63,Mythos Tales,2016,"Hal Eccles, Will Kenyon, Jason Maxwell, Tim Uren"
239,2020-02-23 17:11:06,90,62,3,False,True,1,,,62,The Crew: The Quest for Planet Nine,2019,Thomas Sing
240,2020-02-22 16:10:34,55,61,1,False,False,1,Jul,,61,Exit: The Game – The Pharaoh's Tomb,2016,"Inka Brand, Markus Brand"
241,2020-02-18 15:43:50,18,60,2,True,True,1,Jul,,60,Fugitive,2017,Tim Fowers
243,2020-02-17 14:07:39,25,59,1,False,False,1,Jul,,59,Ubongo,2003,Grzegorz Rejchtman
244,2020-02-16 15:36:08,50,58,1,False,False,1,Jul,,58,Unlock!: Mystery Adventures,2017,"Arnaud Ladagnous, Fabrice Mazza, Sébastien Pauchon, Billy Stevenson"
245,2020-02-15 21:12:51,105,59,1,False,False,1,Jul,,59,Ubongo,2003,Grzegorz Rejchtman
246,2020-02-14 13:25:40,0,47,3,False,True,0,Paula,4.0,47,Love Letter,2012,Seiji Kanai
248,2020-02-02 14:12:25,133,7,3,False,True,0,Nicola,290.0,7,Wizard,1984,Ken Fisher
251,2020-01-26 16:33:38,0,1,3,False,True,0,Maribel,26.0,1,Azul,2017,Michael Kiesling
252,2020-01-26 15:51:37,175,19,4,False,True,0,Jul,44.0,19,Teotihuacan: City of Gods,2018,Daniele Tascini
253,2020-01-22 19:21:51,70,53,2,True,True,0,Jul,18.0,53,Wingspan,2019,Elizabeth Hargrave
254,2020-01-19 12:50:22,197,7,3,False,True,0,Nicola,320.0,7,Wizard,1984,Ken Fisher
257,2020-01-18 16:46:37,77,58,2,False,False,1,,,58,Unlock!: Mystery Adventures,2017,"Arnaud Ladagnous, Fabrice Mazza, Sébastien Pauchon, Billy Stevenson"
258,2020-01-12 11:26:13,90,53,3,False,True,0,Paula,28.0,53,Wingspan,2019,Elizabeth Hargrave
259,2020-01-06 16:54:57,90,7,3,False,True,0,Jul,100.0,7,Wizard,1984,Ken Fisher
262,2020-01-05 19:55:43,180,19,4,False,True,0,Jul,51.0,19,Teotihuacan: City of Gods,2018,Daniele Tascini
263,2020-01-05 19:52:11,90,53,4,False,True,0,Jul,20.0,53,Wingspan,2019,Elizabeth Hargrave
264,2020-01-04 16:07:54,105,35,3,False,True,1,,,35,Unlock!: Secret Adventures,2017,"Thomas Cauët, Lewis Cheshire, Arch Stanton"
265,2020-01-02 15:59:03,46,57,1,False,False,1,,,57,Adventure Games: Monochrome Inc.,2019,"Matthew Dunstan, Phil Walker-Harding"
266,2020-01-02 15:58:38,90,57,1,False,False,1,,,57,Adventure Games: Monochrome Inc.,2019,"Matthew Dunstan, Phil Walker-Harding"
267,2020-01-01 22:23:55,45,57,1,False,False,1,,,57,Adventure Games: Monochrome Inc.,2019,"Matthew Dunstan, Phil Walker-Harding"
268,2020-01-01 15:10:56,40,53,2,True,True,0,Jul,14.0,53,Wingspan,2019,Elizabeth Hargrave
269,2020-01-01 11:58:06,45,53,2,True,True,0,Paula,15.0,53,Wingspan,2019,Elizabeth Hargrave
270,2020-01-01 10:00:00,22,41,4,False,True,1,,,41,Just One,2018,"Ludovic Roudy, Bruno Sautter"
271,2020-01-01 10:00:00,30,41,4,False,True,1,,,41,Just One,2018,"Ludovic Roudy, Bruno Sautter"
